_id,final_remark,name,scores
15,,Tambra Mercure,"[{""score"":69.1565022533158,""type"":""exam"",""remark"":""pass""},{""score"":3.311794422000724,""type"":""quiz"",""remark"":""fail""},{""score"":45.03178973642521,""type"":""homework"",""remark"":""pass""}]"
16,,Dodie Staller,"[{""score"":7.772386442858281,""type"":""exam"",""remark"":""fail""},{""score"":31.84300235104542,""type"":""quiz"",""remark"":""fail""},{""score"":80.52136407989194,""type"":""homework"",""remark"":""pass""}]"
17,,Fletcher Mcconnell,"[{""score"":39.41011069729274,""type"":""exam"",""remark"":""fail""},{""score"":81.13270307809924,""type"":""quiz"",""remark"":""pass""},{""score"":97.70116640402922,""type"":""homework"",""remark"":""pass""}]"
18,Pass,Verdell Sowinski,"[{""score"":62.12870233109035,""type"":""exam"",""remark"":""pass""},{""score"":84.74586220889356,""type"":""quiz"",""remark"":""pass""},{""score"":81.58947824932574,""type"":""homework"",""remark"":""pass""}]"
19,,Gisela Levin,"[{""score"":44.51211101958831,""type"":""exam"",""remark"":""pass""},{""score"":0.6578497966368002,""type"":""quiz"",""remark"":""fail""},{""score"":93.36341655949683,""type"":""homework"",""remark"":""pass""}]"
20,Pass,Tressa Schwing,"[{""score"":42.17439799514388,""type"":""exam"",""remark"":""pass""},{""score"":71.99314840599558,""type"":""quiz"",""remark"":""pass""},{""score"":81.23972632069464,""type"":""homework"",""remark"":""pass""}]"
21,,Rosana Vales,"[{""score"":46.2289476258328,""type"":""exam"",""remark"":""pass""},{""score"":98.34164225207036,""type"":""quiz"",""remark"":""pass""},{""score"":36.18769746805938,""type"":""homework"",""remark"":""fail""}]"
22,,Margart Vitello,"[{""score"":75.04996547553947,""type"":""exam"",""remark"":""pass""},{""score"":10.23046475899236,""type"":""quiz"",""remark"":""fail""},{""score"":96.72520512117761,""type"":""homework"",""remark"":""pass""}]"
23,Pass,Tamika Schildgen,"[{""score"":45.65432764125526,""type"":""exam"",""remark"":""pass""},{""score"":64.32927049658846,""type"":""quiz"",""remark"":""pass""},{""score"":83.53933351660562,""type"":""homework"",""remark"":""pass""}]"
24,,Jesusa Rickenbacker,"[{""score"":86.0319702155683,""type"":""exam"",""remark"":""pass""},{""score"":1.967495200433389,""type"":""quiz"",""remark"":""fail""},{""score"":61.10861071547914,""type"":""homework"",""remark"":""pass""}]"
25,,Rudolph Domingo,"[{""score"":74.75289335591543,""type"":""exam"",""remark"":""pass""},{""score"":38.5413647805495,""type"":""quiz"",""remark"":""fail""},{""score"":35.2554340953413,""type"":""homework"",""remark"":""fail""}]"
26,,Jonie Raby,"[{""score"":19.17861192576963,""type"":""exam"",""remark"":""fail""},{""score"":76.3890359749654,""type"":""quiz"",""remark"":""pass""},{""score"":44.39605672647002,""type"":""homework"",""remark"":""pass""}]"
27,,Edgar Sarkis,"[{""score"":8.606983261043888,""type"":""exam"",""remark"":""fail""},{""score"":58.71180464203724,""type"":""quiz"",""remark"":""pass""},{""score"":15.33726210596508,""type"":""homework"",""remark"":""fail""}]"
28,,Laureen Salomone,"[{""score"":3.677565278992456,""type"":""exam"",""remark"":""fail""},{""score"":7.119462599229987,""type"":""quiz"",""remark"":""fail""},{""score"":82.87308922617427,""type"":""homework"",""remark"":""pass""}]"
29,,Gwyneth Garling,"[{""score"":48.36644963899371,""type"":""exam"",""remark"":""pass""},{""score"":10.37827022865908,""type"":""quiz"",""remark"":""fail""},{""score"":93.26639335532833,""type"":""homework"",""remark"":""pass""}]"
30,,Kaila Deibler,"[{""score"":15.89771199662455,""type"":""exam"",""remark"":""fail""},{""score"":56.93965183412178,""type"":""quiz"",""remark"":""pass""},{""score"":66.64493295066322,""type"":""homework"",""remark"":""pass""}]"
31,,Tandra Meadows,"[{""score"":24.90138146001744,""type"":""exam"",""remark"":""fail""},{""score"":28.8266541837344,""type"":""quiz"",""remark"":""fail""},{""score"":97.16831550665721,""type"":""homework"",""remark"":""pass""}]"
32,Pass,Gwen Honig,"[{""score"":87.14345376886205,""type"":""exam"",""remark"":""pass""},{""score"":99.45824441135635,""type"":""quiz"",""remark"":""pass""},{""score"":76.66460454219344,""type"":""homework"",""remark"":""pass""}]"
33,,Sadie Jernigan,"[{""score"":73.15861249943812,""type"":""exam"",""remark"":""pass""},{""score"":2.987718065941702,""type"":""quiz"",""remark"":""fail""},{""score"":82.54104198590488,""type"":""homework"",""remark"":""pass""}]"
34,,Carli Belvins,"[{""score"":7.112266875518214,""type"":""exam"",""remark"":""fail""},{""score"":67.734668378287,""type"":""quiz"",""remark"":""pass""},{""score"":88.99855402666871,""type"":""homework"",""remark"":""pass""}]"
35,,Synthia Labelle,"[{""score"":27.22049103148209,""type"":""exam"",""remark"":""fail""},{""score"":31.28760039265919,""type"":""quiz"",""remark"":""fail""},{""score"":79.23285425688643,""type"":""homework"",""remark"":""pass""}]"
36,Pass,Eugene Magdaleno,"[{""score"":73.055900093666,""type"":""exam"",""remark"":""pass""},{""score"":79.85621560462026,""type"":""quiz"",""remark"":""pass""},{""score"":66.09143669040472,""type"":""homework"",""remark"":""pass""}]"
37,,Meagan Oakes,"[{""score"":86.06759716616264,""type"":""exam"",""remark"":""pass""},{""score"":79.45097452834857,""type"":""quiz"",""remark"":""pass""},{""score"":28.41090281547689,""type"":""homework"",""remark"":""fail""}]"
38,,Richelle Siemers,"[{""score"":34.64373397163318,""type"":""exam"",""remark"":""fail""},{""score"":91.46799649446983,""type"":""quiz"",""remark"":""pass""},{""score"":56.12615074082559,""type"":""homework"",""remark"":""pass""}]"
39,,Mariette Batdorf,"[{""score"":0.04381116979284005,""type"":""exam"",""remark"":""fail""},{""score"":90.25774974259562,""type"":""quiz"",""remark"":""pass""},{""score"":65.88612319625227,""type"":""homework"",""remark"":""pass""}]"
40,,Rachell Aman,"[{""score"":84.53009035375172,""type"":""exam"",""remark"":""pass""},{""score"":25.25568126160764,""type"":""quiz"",""remark"":""fail""},{""score"":70.42062575402956,""type"":""homework"",""remark"":""pass""}]"
41,,Aleida Elsass,"[{""score"":28.02518041693717,""type"":""exam"",""remark"":""fail""},{""score"":95.25243105389065,""type"":""quiz"",""remark"":""pass""},{""score"":68.05980405338909,""type"":""homework"",""remark"":""pass""}]"
42,,Kayce Kenyon,"[{""score"":44.62441703708117,""type"":""exam"",""remark"":""pass""},{""score"":27.38208798553111,""type"":""quiz"",""remark"":""fail""},{""score"":97.43587143437509,""type"":""homework"",""remark"":""pass""}]"
43,,Ernestine Macfarland,"[{""score"":15.29147856258362,""type"":""exam"",""remark"":""fail""},{""score"":78.40698797039501,""type"":""quiz"",""remark"":""pass""},{""score"":31.03031764716336,""type"":""homework"",""remark"":""fail""}]"
44,,Houston Valenti,"[{""score"":98.06441387027331,""type"":""exam"",""remark"":""pass""},{""score"":0.8760893342659504,""type"":""quiz"",""remark"":""fail""},{""score"":15.2177618920215,""type"":""homework"",""remark"":""fail""}]"
45,,Terica Brugger,"[{""score"":42.1011312120801,""type"":""exam"",""remark"":""pass""},{""score"":41.73654145887228,""type"":""quiz"",""remark"":""pass""},{""score"":18.91287189072117,""type"":""homework"",""remark"":""fail""}]"
46,,Lady Lefevers,"[{""score"":16.89237820123443,""type"":""exam"",""remark"":""fail""},{""score"":65.97505910406456,""type"":""quiz"",""remark"":""pass""},{""score"":48.42527123437286,""type"":""homework"",""remark"":""pass""}]"
47,,Kurtis Jiles,"[{""score"":92.96916908741805,""type"":""exam"",""remark"":""pass""},{""score"":22.86854192921203,""type"":""quiz"",""remark"":""fail""},{""score"":31.89793879453222,""type"":""homework"",""remark"":""fail""}]"
48,,Barbera Lippman,"[{""score"":35.43490750932609,""type"":""exam"",""remark"":""fail""},{""score"":97.42074160188449,""type"":""quiz"",""remark"":""pass""},{""score"":74.1092960902528,""type"":""homework"",""remark"":""pass""}]"
49,,Dinah Sauve,"[{""score"":96.64807532447064,""type"":""exam"",""remark"":""pass""},{""score"":14.56470882270576,""type"":""quiz"",""remark"":""fail""},{""score"":72.00519420743191,""type"":""homework"",""remark"":""pass""}]"
50,,Alica Pasley,"[{""score"":19.38544736721771,""type"":""exam"",""remark"":""fail""},{""score"":88.70752686639557,""type"":""quiz"",""remark"":""pass""},{""score"":60.62755218680213,""type"":""homework"",""remark"":""pass""}]"
51,,Elizabet Kleine,"[{""score"":86.81245449846962,""type"":""exam"",""remark"":""pass""},{""score"":36.196443334522,""type"":""quiz"",""remark"":""fail""},{""score"":77.94001750905642,""type"":""homework"",""remark"":""pass""}]"
52,Pass,Tawana Oberg,"[{""score"":80.59006098671075,""type"":""exam"",""remark"":""pass""},{""score"":93.28438118988183,""type"":""quiz"",""remark"":""pass""},{""score"":93.12134003887978,""type"":""homework"",""remark"":""pass""}]"
53,,Malisa Jeanes,"[{""score"":33.44580005842922,""type"":""exam"",""remark"":""fail""},{""score"":7.172746439960975,""type"":""quiz"",""remark"":""fail""},{""score"":80.53328849494751,""type"":""homework"",""remark"":""pass""}]"
54,Pass,Joel Rueter,"[{""score"":87.53636893952853,""type"":""exam"",""remark"":""pass""},{""score"":92.70974674256513,""type"":""quiz"",""remark"":""pass""},{""score"":61.79032586247813,""type"":""homework"",""remark"":""pass""}]"
55,Pass,Tresa Sinha,"[{""score"":94.93136959210354,""type"":""exam"",""remark"":""pass""},{""score"":72.32226123565266,""type"":""quiz"",""remark"":""pass""},{""score"":77.248768811767,""type"":""homework"",""remark"":""pass""}]"
56,,Danika Loeffler,"[{""score"":21.54531707142236,""type"":""exam"",""remark"":""fail""},{""score"":41.75962115078149,""type"":""quiz"",""remark"":""pass""},{""score"":55.70195462204016,""type"":""homework"",""remark"":""pass""}]"
57,,Chad Rahe,"[{""score"":40.84572027366789,""type"":""exam"",""remark"":""pass""},{""score"":29.22733629679561,""type"":""quiz"",""remark"":""fail""},{""score"":93.12112348179406,""type"":""homework"",""remark"":""pass""}]"
58,,Joaquina Arbuckle,"[{""score"":28.66671659815553,""type"":""exam"",""remark"":""fail""},{""score"":40.48858382583742,""type"":""quiz"",""remark"":""pass""},{""score"":51.51393116681172,""type"":""homework"",""remark"":""pass""}]"
59,,Vinnie Auerbach,"[{""score"":95.45508256300009,""type"":""exam"",""remark"":""pass""},{""score"":7.512188017365151,""type"":""quiz"",""remark"":""fail""},{""score"":28.5905754294006,""type"":""homework"",""remark"":""fail""}]"
60,,Dusti Lemmond,"[{""score"":17.27725327681863,""type"":""exam"",""remark"":""fail""},{""score"":83.24439414725833,""type"":""quiz"",""remark"":""pass""},{""score"":81.84258722611811,""type"":""homework"",""remark"":""pass""}]"
61,Pass,Grady Zemke,"[{""score"":51.91561300267121,""type"":""exam"",""remark"":""pass""},{""score"":50.08349374829509,""type"":""quiz"",""remark"":""pass""},{""score"":95.34139273570386,""type"":""homework"",""remark"":""pass""}]"
62,,Vina Matsunaga,"[{""score"":51.38190070034149,""type"":""exam"",""remark"":""pass""},{""score"":34.63479282877322,""type"":""quiz"",""remark"":""fail""},{""score"":46.27059093183421,""type"":""homework"",""remark"":""pass""}]"
63,,Rubie Winton,"[{""score"":7.176062073558509,""type"":""exam"",""remark"":""fail""},{""score"":46.32426882511162,""type"":""quiz"",""remark"":""pass""},{""score"":19.24312817599633,""type"":""homework"",""remark"":""fail""}]"
64,Pass,Whitley Fears,"[{""score"":89.61845831842888,""type"":""exam"",""remark"":""pass""},{""score"":82.44879156010508,""type"":""quiz"",""remark"":""pass""},{""score"":96.57912148645883,""type"":""homework"",""remark"":""pass""}]"
65,Pass,Gena Riccio,"[{""score"":67.58395308948619,""type"":""exam"",""remark"":""pass""},{""score"":67.2413500951588,""type"":""quiz"",""remark"":""pass""},{""score"":42.93471779899529,""type"":""homework"",""remark"":""pass""}]"
66,,Kim Xu,"[{""score"":19.96531774799065,""type"":""exam"",""remark"":""fail""},{""score"":17.52966217224916,""type"":""quiz"",""remark"":""fail""},{""score"":57.32983091095816,""type"":""homework"",""remark"":""pass""}]"
67,Pass,Merissa Mann,"[{""score"":75.1949733626123,""type"":""exam"",""remark"":""pass""},{""score"":52.56522605123723,""type"":""quiz"",""remark"":""pass""},{""score"":94.67518167209815,""type"":""homework"",""remark"":""pass""}]"
68,Pass,Jenise Mcguffie,"[{""score"":40.15210496060384,""type"":""exam"",""remark"":""pass""},{""score"":90.60219950183566,""type"":""quiz"",""remark"":""pass""},{""score"":51.58720341010564,""type"":""homework"",""remark"":""pass""}]"
69,,Cody Strouth,"[{""score"":4.784730508547719,""type"":""exam"",""remark"":""fail""},{""score"":99.80348240553108,""type"":""quiz"",""remark"":""pass""},{""score"":97.89665889862901,""type"":""homework"",""remark"":""pass""}]"
70,,Harriett Velarde,"[{""score"":33.7733570443736,""type"":""exam"",""remark"":""fail""},{""score"":96.05228578589255,""type"":""quiz"",""remark"":""pass""},{""score"":46.24926696413032,""type"":""homework"",""remark"":""pass""}]"
71,,Kam Senters,"[{""score"":81.56497719010976,""type"":""exam"",""remark"":""pass""},{""score"":5.247410853581524,""type"":""quiz"",""remark"":""fail""},{""score"":92.10078400854972,""type"":""homework"",""remark"":""pass""}]"
72,,Leonida Lafond,"[{""score"":92.10605086888438,""type"":""exam"",""remark"":""pass""},{""score"":32.66022211621239,""type"":""quiz"",""remark"":""fail""},{""score"":82.15588797092647,""type"":""homework"",""remark"":""pass""}]"
73,,Devorah Smartt,"[{""score"":69.60160495436016,""type"":""exam"",""remark"":""pass""},{""score"":6.931507591998553,""type"":""quiz"",""remark"":""fail""},{""score"":55.66005349294464,""type"":""homework"",""remark"":""pass""}]"
74,,Leola Lundin,"[{""score"":31.62936464207764,""type"":""exam"",""remark"":""fail""},{""score"":91.28658941188532,""type"":""quiz"",""remark"":""pass""},{""score"":93.71671632774428,""type"":""homework"",""remark"":""pass""}]"
75,Pass,Tonia Surace,"[{""score"":80.93655069496523,""type"":""exam"",""remark"":""pass""},{""score"":79.54620208144452,""type"":""quiz"",""remark"":""pass""},{""score"":41.34308724166419,""type"":""homework"",""remark"":""pass""}]"
76,,Adrien Renda,"[{""score"":57.24794864351232,""type"":""exam"",""remark"":""pass""},{""score"":19.5118228072558,""type"":""quiz"",""remark"":""fail""},{""score"":70.71043448913191,""type"":""homework"",""remark"":""pass""}]"
77,,Efrain Claw,"[{""score"":55.41266579085205,""type"":""exam"",""remark"":""pass""},{""score"":31.30359328252952,""type"":""quiz"",""remark"":""fail""},{""score"":88.73134194093676,""type"":""homework"",""remark"":""pass""}]"
78,,Len Treiber,"[{""score"":21.21850173315791,""type"":""exam"",""remark"":""fail""},{""score"":13.2282768150266,""type"":""quiz"",""remark"":""fail""},{""score"":82.49842801247594,""type"":""homework"",""remark"":""pass""}]"
79,Pass,Mariela Sherer,"[{""score"":61.20158144877323,""type"":""exam"",""remark"":""pass""},{""score"":52.75657259917104,""type"":""quiz"",""remark"":""pass""},{""score"":90.97004773806381,""type"":""homework"",""remark"":""pass""}]"
80,,Echo Pippins,"[{""score"":27.77924608896123,""type"":""exam"",""remark"":""fail""},{""score"":85.1861976198818,""type"":""quiz"",""remark"":""pass""},{""score"":92.50671800180454,""type"":""homework"",""remark"":""pass""}]"
81,,Linnie Weigel,"[{""score"":66.0349256424749,""type"":""exam"",""remark"":""pass""},{""score"":67.57096025532985,""type"":""quiz"",""remark"":""pass""},{""score"":38.33608066073369,""type"":""homework"",""remark"":""fail""}]"
82,,Santiago Dollins,"[{""score"":33.48242310776701,""type"":""exam"",""remark"":""fail""},{""score"":60.49199094204558,""type"":""quiz"",""remark"":""pass""},{""score"":87.02564768982076,""type"":""homework"",""remark"":""pass""}]"
83,,Tonisha Games,"[{""score"":29.13833807032966,""type"":""exam"",""remark"":""fail""},{""score"":35.25054111123917,""type"":""quiz"",""remark"":""fail""},{""score"":66.73047056293319,""type"":""homework"",""remark"":""pass""}]"
84,Pass,Timothy Harrod,"[{""score"":93.23020013495737,""type"":""exam"",""remark"":""pass""},{""score"":49.06010347848443,""type"":""quiz"",""remark"":""pass""},{""score"":74.00788699415295,""type"":""homework"",""remark"":""pass""}]"
85,Pass,Rae Kohout,"[{""score"":63.86894250781692,""type"":""exam"",""remark"":""pass""},{""score"":55.81549538273672,""type"":""quiz"",""remark"":""pass""},{""score"":59.13566011309437,""type"":""homework"",""remark"":""pass""}]"
86,,Brain Lachapelle,"[{""score"":2.013473187690951,""type"":""exam"",""remark"":""fail""},{""score"":45.01802394825918,""type"":""quiz"",""remark"":""pass""},{""score"":88.04712649447521,""type"":""homework"",""remark"":""pass""}]"
87,,Toshiko Sabella,"[{""score"":21.05570509531929,""type"":""exam"",""remark"":""fail""},{""score"":26.43387483146958,""type"":""quiz"",""remark"":""fail""},{""score"":42.80331214002496,""type"":""homework"",""remark"":""pass""}]"
88,,Keesha Papadopoulos,"[{""score"":82.35397321850031,""type"":""exam"",""remark"":""pass""},{""score"":3.064361273717464,""type"":""quiz"",""remark"":""fail""},{""score"":98.46867828216399,""type"":""homework"",""remark"":""pass""}]"
89,,Cassi Heal,"[{""score"":43.04310994985133,""type"":""exam"",""remark"":""pass""},{""score"":0.006247360551892012,""type"":""quiz"",""remark"":""fail""},{""score"":63.88558436723092,""type"":""homework"",""remark"":""pass""}]"
90,Pass,Osvaldo Hirt,"[{""score"":67.44931456608883,""type"":""exam"",""remark"":""pass""},{""score"":41.77986504201782,""type"":""quiz"",""remark"":""pass""},{""score"":76.30879472084027,""type"":""homework"",""remark"":""pass""}]"
91,,Ty Barbieri,"[{""score"":38.43781607953586,""type"":""exam"",""remark"":""fail""},{""score"":95.70340794272111,""type"":""quiz"",""remark"":""pass""},{""score"":72.80272364761178,""type"":""homework"",""remark"":""pass""}]"
92,,Ta Sikorski,"[{""score"":30.02140506101446,""type"":""exam"",""remark"":""fail""},{""score"":23.89164976236439,""type"":""quiz"",""remark"":""fail""},{""score"":61.82907698626848,""type"":""homework"",""remark"":""pass""}]"
93,,Lucinda Vanderburg,"[{""score"":27.55843343656866,""type"":""exam"",""remark"":""fail""},{""score"":11.45699271327768,""type"":""quiz"",""remark"":""fail""},{""score"":75.53546873615787,""type"":""homework"",""remark"":""pass""}]"
94,,Darby Wass,"[{""score"":6.867644836612586,""type"":""exam"",""remark"":""fail""},{""score"":63.4908039680606,""type"":""quiz"",""remark"":""pass""},{""score"":85.41865347441522,""type"":""homework"",""remark"":""pass""}]"
95,,Omar Bowdoin,"[{""score"":8.58858127638702,""type"":""exam"",""remark"":""fail""},{""score"":88.40377630359677,""type"":""quiz"",""remark"":""pass""},{""score"":25.71387474240768,""type"":""homework"",""remark"":""fail""}]"
96,,Milan Mcgavock,"[{""score"":69.11554341921843,""type"":""exam"",""remark"":""pass""},{""score"":10.2027724707151,""type"":""quiz"",""remark"":""fail""},{""score"":24.87545552041663,""type"":""homework"",""remark"":""fail""}]"
97,Pass,Maren Scheider,"[{""score"":94.4329121733663,""type"":""exam"",""remark"":""pass""},{""score"":77.28263690107663,""type"":""quiz"",""remark"":""pass""},{""score"":59.46326216544371,""type"":""homework"",""remark"":""pass""}]"
98,Pass,Carli Ector,"[{""score"":88.18040268522668,""type"":""exam"",""remark"":""pass""},{""score"":60.3111085581054,""type"":""quiz"",""remark"":""pass""},{""score"":96.33612053785647,""type"":""homework"",""remark"":""pass""}]"
99,Pass,Jaclyn Morado,"[{""score"":70.27627082122453,""type"":""exam"",""remark"":""pass""},{""score"":56.78470387064279,""type"":""quiz"",""remark"":""pass""},{""score"":47.48518298423097,""type"":""homework"",""remark"":""pass""}]"
100,,Demarcus Audette,"[{""score"":47.42608580155614,""type"":""exam"",""remark"":""pass""},{""score"":44.83416623719906,""type"":""quiz"",""remark"":""pass""},{""score"":39.01726616178844,""type"":""homework"",""remark"":""fail""}]"
101,,Tania Hulett,"[{""score"":21.84617015735916,""type"":""exam"",""remark"":""fail""},{""score"":53.8568257735492,""type"":""quiz"",""remark"":""pass""},{""score"":79.60533635579307,""type"":""homework"",""remark"":""pass""}]"
102,Pass,Mercedez Garduno,"[{""score"":49.52877007656483,""type"":""exam"",""remark"":""pass""},{""score"":44.55505066212384,""type"":""quiz"",""remark"":""pass""},{""score"":81.50869746632009,""type"":""homework"",""remark"":""pass""}]"
103,,Fleta Duplantis,"[{""score"":84.37799696030743,""type"":""exam"",""remark"":""pass""},{""score"":15.95792143439528,""type"":""quiz"",""remark"":""fail""},{""score"":77.80745176713172,""type"":""homework"",""remark"":""pass""}]"
104,Pass,Brittny Warwick,"[{""score"":69.54399888097534,""type"":""exam"",""remark"":""pass""},{""score"":82.00469934215849,""type"":""quiz"",""remark"":""pass""},{""score"":95.96446106607902,""type"":""homework"",""remark"":""pass""}]"
105,Pass,Shin Allbright,"[{""score"":62.28388941877533,""type"":""exam"",""remark"":""pass""},{""score"":85.26863799439475,""type"":""quiz"",""remark"":""pass""},{""score"":88.9947941542333,""type"":""homework"",""remark"":""pass""}]"
106,,Karry Petrarca,"[{""score"":3.677125771067413,""type"":""exam"",""remark"":""fail""},{""score"":40.39799056667404,""type"":""quiz"",""remark"":""pass""},{""score"":14.38347127905983,""type"":""homework"",""remark"":""fail""}]"
107,,Beckie Millington,"[{""score"":69.52419218194589,""type"":""exam"",""remark"":""pass""},{""score"":24.85411404016219,""type"":""quiz"",""remark"":""fail""},{""score"":34.92039455520659,""type"":""homework"",""remark"":""fail""}]"
108,Pass,Mikaela Meidinger,"[{""score"":63.75595052560389,""type"":""exam"",""remark"":""pass""},{""score"":59.52298111997963,""type"":""quiz"",""remark"":""pass""},{""score"":88.66481441499843,""type"":""homework"",""remark"":""pass""}]"
109,Pass,Flora Duell,"[{""score"":40.68238966626067,""type"":""exam"",""remark"":""pass""},{""score"":46.77972040308903,""type"":""quiz"",""remark"":""pass""},{""score"":69.29400057020965,""type"":""homework"",""remark"":""pass""}]"
110,Pass,Nobuko Linzey,"[{""score"":67.40792606687442,""type"":""exam"",""remark"":""pass""},{""score"":58.58331128403415,""type"":""quiz"",""remark"":""pass""},{""score"":47.44831568815929,""type"":""homework"",""remark"":""pass""}]"
111,Pass,Gennie Ratner,"[{""score"":62.74309964110307,""type"":""exam"",""remark"":""pass""},{""score"":92.18013849235186,""type"":""quiz"",""remark"":""pass""},{""score"":53.11174468047395,""type"":""homework"",""remark"":""pass""}]"
112,,Myrtle Wolfinger,"[{""score"":73.93895528856032,""type"":""exam"",""remark"":""pass""},{""score"":35.99397009906073,""type"":""quiz"",""remark"":""fail""},{""score"":93.85826506506328,""type"":""homework"",""remark"":""pass""}]"
113,,,"[{""score"":77.57315913088024,""type"":""exam"",""remark"":""pass""},{""score"":13.28135073340091,""type"":""quiz"",""remark"":""fail""},{""score"":67.27527802263116,""type"":""homework"",""remark"":""pass""}]"
114,,aimee Zank,"[{""score"":15.91636686717778,""type"":""exam"",""remark"":""fail""},{""score"":96.12953798826392,""type"":""quiz"",""remark"":""pass""},{""score"":18.92628947700149,""type"":""homework"",""remark"":""fail""}]"
115,,Aurelia Menendez,"[{""score"":5.105728872755167,""type"":""exam"",""remark"":""fail""},{""score"":7.375913405784407,""type"":""quiz"",""remark"":""fail""},{""score"":92.62414866541212,""type"":""homework"",""remark"":""pass""}]"
116,Pass,Corliss Zuk,"[{""score"":76.45468797439878,""type"":""exam"",""remark"":""pass""},{""score"":53.02642890026489,""type"":""quiz"",""remark"":""pass""},{""score"":91.86573111689813,""type"":""homework"",""remark"":""pass""}]"
117,,Bao Ziglar,"[{""score"":37.22753032391262,""type"":""exam"",""remark"":""fail""},{""score"":52.75139192596129,""type"":""quiz"",""remark"":""pass""},{""score"":64.06863625194231,""type"":""homework"",""remark"":""pass""}]"
118,Pass,Zachary Langlais,"[{""score"":62.20457822364115,""type"":""exam"",""remark"":""pass""},{""score"":61.03733414415722,""type"":""quiz"",""remark"":""pass""},{""score"":82.41688205392703,""type"":""homework"",""remark"":""pass""}]"
119,Pass,Wilburn Spiess,"[{""score"":52.36963021569788,""type"":""exam"",""remark"":""pass""},{""score"":96.5715450678789,""type"":""quiz"",""remark"":""pass""},{""score"":61.35034001494281,""type"":""homework"",""remark"":""pass""}]"
120,,Jenette Flanders,"[{""score"":22.0445143239363,""type"":""exam"",""remark"":""fail""},{""score"":22.43958080566196,""type"":""quiz"",""remark"":""fail""},{""score"":63.38749542414235,""type"":""homework"",""remark"":""pass""}]"
